player,tm,pos,g,mp,g_2,mp_2,per,tspercent,efgpercent,x3par,ftr,orbpercent,trbpercent,astpercent,stlpercent,blkpercent,tovpercent,usgpercent,ortg,drtg,ows,dws,ws,ws_40,link,season
Marcie Alberts,CLE,G,5,30,5,30,-1,0,0,1,0,0,2.1,15.7,3.6,0,60,7.8,27,94,-0.1,0,-0.1,-0.138,/wnba/players/a/alberma01w.html,1997
Denique Graves,SAC,C,22,86,22,86,-5.1,0.262,0.222,0,0.296,4.2,11,0,0,5.5,28.2,22.1,45,101,-0.6,0,-0.6,-0.287,/wnba/players/g/gravede01w.html,1997
Tammy Jackson,HOU,F-C,28,545,28,545,10.2,0.449,0.409,0.009,0.373,10,14,4.1,4.6,1.6,27.7,15.2,80,85,-0.4,1.3,0.9,0.069,/wnba/players/j/jacksta01w.html,1997
Susie Hopson-Shelton,CHA,F,6,29,6,29,25.7,0.673,0.636,0,0.182,4.4,10.7,8.6,1.9,0,14.4,22.7,114,92,0.1,0,0.2,0.245,/wnba/players/h/hopsosu01w.html,1997
Jessie Hicks,UTA,C-F,26,263,26,263,12.4,0.477,0.463,0.013,0.2,7.2,7.9,8.5,2.6,3.3,12.1,16.8,96,99,0.4,0,0.4,0.06,/wnba/players/h/hicksje01w.html,1997
Dena Head,UTA,G,27,471,27,471,11.2,0.494,0.426,0.235,0.331,5.2,7.7,20.5,1.6,1.3,28.1,20.5,84,102,-0.1,-0.2,-0.3,-0.027,/wnba/players/h/headde01w.html,1997
Fran Harris,HOU,G-F,25,369,25,369,11.9,0.431,0.383,0.224,0.29,5.6,10,13,2.6,0.7,19.4,19,88,92,0.2,0.5,0.7,0.072,/wnba/players/h/harrifr01w.html,1997
Kym Hampton,NYL,C,28,663,28,663,20.9,0.523,0.474,0.005,0.54,9.6,15.1,12.1,3.2,2.4,15.8,21.1,101,83,1.9,1.8,3.7,0.221,/wnba/players/h/hamptky01w.html,1997
Wanda Guyton,HOU,C,25,668,25,668,11.4,0.5,0.467,0,0.557,14.7,13.4,3.4,2.2,1,22.1,13.7,96,93,0.9,0.7,1.7,0.099,/wnba/players/g/guytowa01w.html,1997
Lady Grooms,UTA,F,28,691,28,691,6.9,0.4,0.35,0.06,0.329,5.3,7,19.2,1.8,0.2,29.2,17.4,72,103,-1.3,-0.4,-1.8,-0.102,/wnba/players/g/groomla01w.html,1997
Tajama Abraham,SAC,C,28,422,28,422,6.4,0.427,0.381,0,0.302,9.2,10,6,1.5,2.3,25.6,20.3,76,102,-0.6,-0.2,-0.8,-0.077,/wnba/players/a/abrahta01w.html,1997
Bridgette Gordon,SAC,F,28,981,28,981,16.9,0.508,0.45,0.128,0.343,8.3,8.7,16.4,2.1,0.7,18.8,20.1,100,103,2.5,-0.5,1.9,0.079,/wnba/players/g/gordobr01w.html,1997
Jennifer Gillom,PHO,F-C,28,874,28,874,19.3,0.513,0.46,0.17,0.322,5.9,10.6,6.4,2.2,1.5,11.9,25.1,101,88,2.7,1.8,4.5,0.204,/wnba/players/g/gilloje01w.html,1997
Kim Gessig,LAS,F,1,4,1,4,-19.6,NA,NA,NA,NA,0,15.1,0,0,0,100,11.1,0,90,0,0,0,-0.305,/wnba/players/g/gessiki01w.html,1997
Pietra Gay,HOU,G-F,5,12,5,12,2.8,0.476,0.5,0,2.5,0,16.5,31.1,4.7,0,48.8,32,58,80,-0.1,0,-0.1,-0.192,/wnba/players/g/gaypi01w.html,1997
Travesa Gant,LAS,C,2,13,2,13,-13.4,0,0,0,0,0,14,0,0,0,66.7,10.2,0,92,-0.1,0,-0.1,-0.247,/wnba/players/g/ganttr01w.html,1997
Toni Foster,PHO,F-C,28,736,28,736,18,0.52,0.47,0.03,0.403,10.2,14.2,8.1,3.9,2.5,18,17.6,98,83,1.4,2.1,3.5,0.192,/wnba/players/f/fosteto01w.html,1997
Kisha Ford,NYL,G-F,28,473,28,473,8.6,0.435,0.39,0.175,0.386,7.3,6.2,9.9,3.2,0.9,22.2,16.3,82,91,-0.2,0.7,0.5,0.046,/wnba/players/f/fordki01w.html,1997
Isabelle Fijalkowski,CLE,F-C,28,803,28,803,18.5,0.57,0.51,0.016,0.419,10.6,12.6,17.5,1.2,1.8,20,21.2,105,94,2.9,0.7,3.6,0.18,/wnba/players/f/fijalis01w.html,1997
Michelle Edwards,CLE,G,20,622,20,622,14.4,0.488,0.465,0.147,0.506,2.9,7.3,27.7,3.1,0.4,27,21.4,85,92,0,0.7,0.8,0.05,/wnba/players/e/edwarmi01w.html,1997
Tamecka Dixon,LAS,G,27,715,27,715,19.2,0.55,0.5,0.206,0.349,4,6.9,14.4,3.6,0.5,16.6,21.6,103,91,2.3,1,3.3,0.183,/wnba/players/d/dixonta01w.html,1997
Cassandra Crumpton-Moorer,NYL,G,2,11,2,11,3,0.25,0.25,0.25,0,11.2,11.1,17.1,0,0,20,20.5,62,96,0,0,0,-0.131,/wnba/players/c/crumpca01w.html,1997
Mikiko Hagiwara,TOT,G,26,360,26,360,6.3,0.408,0.39,0.709,0.186,2.3,4,10.4,0.6,0.4,14.7,13.6,87,101,0.1,-0.1,0,0,/wnba/players/h/hagiwmi01w.html,1997
Mikiko Hagiwara,SAC,G,14,174,14,174,7.7,0.433,0.415,0.702,0.128,1.4,3.3,10.7,0.6,0.9,15.3,15.1,90,107,0.1,-0.2,-0.1,-0.028,/wnba/players/h/hagiwmi01w.html,1997
Mikiko Hagiwara,PHO,G,12,186,12,186,5,0.38,0.359,0.718,0.256,3.1,4.6,10.2,0.6,0,13.9,12.2,84,95,0,0.1,0.1,0.026,/wnba/players/h/hagiwmi01w.html,1997
Tajama Abraham,DET,C,12,44,12,44,8.2,0.437,0.357,0,1.071,5.4,9.4,0,2.5,1.8,19.5,26.4,79,92,-0.1,0.1,0,-0.001,/wnba/players/a/abrahta01w.html,1998
Janeth Arcain,HOU,G,30,657,30,657,14,0.477,0.438,0.169,0.231,8.6,10.6,7.5,2.1,0.4,15,18.4,97,91,1,1.2,2.2,0.133,/wnba/players/a/arcaija01w.html,1998
Marlies Askamp,PHO,C,26,319,26,319,19.7,0.529,0.471,0,0.596,14.1,17.2,7.6,2,1.8,14.4,22,105,89,1,0.7,1.7,0.213,/wnba/players/a/askamma01w.html,1998
Tricia Bader Binford,UTA,G,22,206,22,206,2.7,0.407,0.396,0.509,0.151,0,2.9,17.2,3.4,0,31.5,18.3,67,102,-0.6,0,-0.6,-0.123,/wnba/players/b/badertr01w.html,1998
Elena Baranova,UTA,F,20,671,20,671,21.4,0.516,0.454,0.219,0.324,11.1,16.6,20.7,1.7,3.5,18,20.8,102,98,1.8,0.5,2.3,0.134,/wnba/players/b/baranel01w.html,1998
Adia Barnes,SAC,F,29,619,29,619,10,0.456,0.426,0.211,0.175,7,8.6,7.6,1.3,1.4,18.4,22.2,85,100,-0.2,0.3,0,0,/wnba/players/b/barnead01w.html,1998
Quacy Barnes,SAC,C,17,90,17,90,0.5,0.403,0.4,0,0.733,6.9,5.6,4.1,0.6,5.8,31.2,15,64,101,-0.3,0,-0.2,-0.107,/wnba/players/b/barnequ01w.html,1998
Tully Bevilaqua,CLE,G,11,126,11,126,16,0.631,0.607,0.214,0.429,2.3,5.4,30.5,5.2,1.3,35.1,9.8,108,91,0.3,0.2,0.5,0.157,/wnba/players/b/beviltu01w.html,1998
Rhonda Blades,DET,G,29,340,29,340,2.7,0.364,0.333,0.641,0.372,1.7,5.6,20.7,1.9,0.2,31.1,17.6,67,96,-1,0.4,-0.6,-0.075,/wnba/players/b/bladerh01w.html,1998
Cindy Blodgett,CLE,G,22,184,22,184,10.1,0.411,0.364,0.561,0.364,1.6,5.1,17.5,2.7,0,13.6,23.2,85,96,-0.1,0.2,0.1,0.026,/wnba/players/b/blodgci01w.html,1998
Octavia Blue,LAS,F,30,331,30,331,5.8,0.417,0.377,0.273,0.312,6.9,8.8,5.2,2.1,0.7,23.6,15.5,77,98,-0.4,0.3,-0.2,-0.019,/wnba/players/b/blueoc01w.html,1998
Ruthie Bolton,SAC,G,5,133,5,133,10.7,0.391,0.328,0.448,0.483,4.7,5.3,9.4,2.5,0,9.1,27.1,86,100,0,0.1,0,0.007,/wnba/players/b/boltoru01w.html,1998
Karen Booker,HOU,C,1,2,1,2,9.6,0,0,0,0,0,0,0,28.1,0,0,23.9,0,42,0,0,0,-0.132,/wnba/players/b/bookeka01w.html,1998
Kelly Boucher,CHA,F,9,52,9,52,4.6,0.298,0.233,0.4,0.267,4.8,15.4,6.3,1,0,15.2,17.6,67,92,-0.1,0.1,-0.1,-0.043,/wnba/players/b/bouchke01w.html,1998
Carla Boyd,DET,F,30,817,30,817,11.4,0.417,0.379,0.242,0.292,7.4,8.6,15.6,1.8,1,15.1,19.2,91,95,0.4,0.9,1.4,0.067,/wnba/players/b/boydca01w.html,1998
Albena Branzova,NYL,F,11,94,11,94,5.1,0.43,0.4,0.16,0.16,8.2,11.2,10,1.8,0.9,31,19.5,71,93,-0.2,0.1,-0.1,-0.042,/wnba/players/b/branzal01w.html,1998
Gergana Branzova,DET,F,26,204,26,204,8.3,0.467,0.446,0.062,0.308,7.6,12.2,6.9,0.8,1.6,22.2,21.1,83,94,-0.2,0.3,0.1,0.022,/wnba/players/b/branzge01w.html,1998
Janice Braxton,CLE,F,30,840,30,840,18.5,0.561,0.5,0.028,0.468,6.5,13.5,16.5,3.3,1.5,20.3,18.9,102,90,1.9,1.7,3.6,0.171,/wnba/players/b/braxtja01w.html,1998
Razija Brcaninovic,DET,C,30,695,30,695,16.5,0.558,0.52,0,0.441,9.2,13.1,8.5,0.7,3,20.8,20.1,99,94,1.3,1,2.3,0.134,/wnba/players/b/brcanra01w.html,1998
Michelle Brogan,PHO,F,30,779,30,779,18.5,0.605,0.535,0.125,0.533,7.2,11,10,3.1,0.5,18.6,16.4,111,90,2.5,1.6,4,0.206,/wnba/players/b/brogami01w.html,1998
Sandy Brondello,DET,G,30,993,30,993,18.3,0.516,0.45,0.12,0.283,2.1,5.2,20.4,2.1,0.1,13.4,21.8,106,96,3.2,1,4.2,0.17,/wnba/players/b/brondsa01w.html,1998
Cindy Brown,DET,F,30,965,30,965,20.8,0.555,0.507,0.228,0.433,8.6,18.5,10.7,2.9,1.8,17.4,18.1,106,86,2.7,2.6,5.2,0.217,/wnba/players/b/brownci01w.html,1998
La'Shawn Brown,WAS,C,22,272,22,272,4.9,0.409,0.342,0,0.868,7.3,12.2,4.7,1.9,5.7,31.4,12.5,69,101,-0.5,0.1,-0.4,-0.066,/wnba/players/b/brownla01w.html,1998
Rushia Brown,CLE,F,30,522,30,522,16.3,0.55,0.46,0.007,0.612,9.6,12,9.9,3.5,2.6,21.7,20.8,98,91,0.9,1,1.9,0.147,/wnba/players/b/brownru01w.html,1998
Vicky Bullett,CHA,F,30,947,30,947,20.6,0.493,0.447,0.071,0.234,8.1,12.6,9.8,3.8,3.9,13.7,23,98,87,1.8,2.3,4.2,0.175,/wnba/players/b/bullevi01w.html,1998
Heidi Burge,WAS,F-C,30,501,30,501,12.1,0.54,0.516,0.044,0.39,7,12.2,11.9,1.7,2.3,27.6,22.8,84,103,-0.3,-0.1,-0.3,-0.025,/wnba/players/b/burgehe01w.html,1998
