player,tm,pos,g,mp,mp2,oncourt,on_off,badpass,lostball,shoot_fouls_committed,off_fouls_committed,shoot_fouls_drawn,off_fouls_drawn,pga,and1,blkd,link,season
Briann January,PHO,G,33,895,895,2.8,-0.5,33,7,26,4,8,NA,251,2,6,/wnba/players/j/januabr01w.html,2018
Camille Little,PHO,F,33,536,536,-3.6,-10.6,11,8,33,10,11,NA,98,2,12,/wnba/players/l/littlca01w.html,2018
Sancho Lyttle,PHO,F,18,419,419,7.7,6.6,10,2,20,3,11,NA,62,4,3,/wnba/players/l/lyttlsa01w.html,2018
Leilani Mitchell,PHO,G,31,461,461,-6.8,-14.5,21,5,16,4,4,NA,153,0,4,/wnba/players/m/mitchle01w.html,2018
Devereaux Peters,PHO,F,5,38,38,-13.3,-16.8,1,1,3,0,0,NA,6,0,1,/wnba/players/p/peterde01w.html,2018
Angel Robinson,PHO,F-C,24,238,238,-4.2,-8.7,7,5,16,7,7,NA,33,2,6,/wnba/players/r/robinan01w.html,2018
Stephanie Talbot,PHO,F,31,453,453,-0.5,-5.1,16,3,25,2,8,NA,97,1,4,/wnba/players/t/talbost01w.html,2018
Diana Taurasi,PHO,G,33,989,989,9.9,23.6,52,14,20,14,55,NA,395,16,17,/wnba/players/t/tauradi01w.html,2018
Yvonne Turner,PHO,G,32,426,426,1.1,-2.8,10,5,14,2,4,NA,101,1,6,/wnba/players/t/turneyv01w.html,2018
Imani Wright,PHO,G,1,1,1,-300,-303.1,0,0,0,0,0,NA,0,0,0,/wnba/players/w/wrighim01w.html,2018
Sue Bird,SEA,G,31,824,824,15.8,15.5,44,8,10,1,8,NA,501,1,6,/wnba/players/b/birdsu01w.html,2018
Jordin Canada,SEA,G,33,543,543,2.5,-11.7,35,15,13,2,25,NA,258,4,9,/wnba/players/c/canadjo01w.html,2018
Alysha Clark,SEA,F,31,813,813,12.6,7.6,17,10,25,6,17,NA,142,5,4,/wnba/players/c/clarkal01w.html,2018
Natasha Howard,SEA,F,34,869,869,16.2,18.2,22,13,64,12,48,NA,77,6,13,/wnba/players/h/howarna01w.html,2018
Crystal Langhorne,SEA,F-C,26,362,362,-5.3,-20.2,7,7,11,5,10,NA,23,2,9,/wnba/players/l/langhcr01w.html,2018
Jewell Loyd,SEA,G,34,1010,1010,13.5,15.1,40,15,30,6,44,NA,292,10,25,/wnba/players/l/loydje01w.html,2018
Kaleena Mosqueda-Lewis,SEA,F,33,442,442,-0.8,-15.2,16,4,16,1,5,NA,63,2,6,/wnba/players/m/mosquka01w.html,2018
Courtney Paris,SEA,C,34,360,360,5.6,-5.5,3,1,25,8,8,NA,53,3,10,/wnba/players/p/parisco01w.html,2018
Noelle Quinn,SEA,G,20,181,181,-1.3,-12.5,7,2,3,0,0,NA,31,0,1,/wnba/players/q/quinnno01w.html,2018
Breanna Stewart,SEA,F,34,1074,1074,12.6,14.1,19,21,30,13,66,NA,222,22,23,/wnba/players/s/stewabr01w.html,2018
Sami Whitcomb,SEA,G,31,265,265,1.2,-10.5,10,2,8,2,3,NA,39,0,3,/wnba/players/w/whitcsa01w.html,2018
Ariel Atkins,WAS,G,29,652,652,15,24,21,11,35,2,21,NA,138,6,7,/wnba/players/a/atkinar01w.html,2018
