player,team,pos,g,mp,g_2,gs,mp_2,fg,fga,fgpercent,x3p,x3pa,x3ppercent,x2p,x2pa,x2ppercent,ft,fta,ftpercent,orb,trb,ast,stl,blk,tov,pf,pts,link,season
Briann January,PHO,G,33,895,33,33,27.1,2.3,5.5,0.423,1.4,3,0.47,0.9,2.5,0.366,0.9,1.1,0.806,0.4,2.1,3.3,0.6,0.1,1.4,2.3,7,/wnba/players/j/januabr01w.html,2018
Moriah Jefferson,LVA,G,16,251,16,0,15.7,2.1,5.4,0.379,0.2,0.9,0.2,1.9,4.5,0.417,1.1,1.3,0.81,0.3,1.3,2.1,0.6,0,1,1.3,5.4,/wnba/players/j/jeffemo01w.html,2018
Glory Johnson,DAL,F,29,652,29,17,22.5,2.9,7,0.417,0.6,1.9,0.315,2.3,5.2,0.453,1.6,2,0.78,1.6,6,1.3,1,0.5,1.3,2.1,8,/wnba/players/j/johnsgl01w.html,2018
Alexis Jones,MIN,G,26,229,26,0,8.8,1.2,3.5,0.352,0.6,1.9,0.32,0.6,1.6,0.39,0.2,0.3,0.75,0.2,0.9,0.7,0.1,0.1,0.7,1,3.3,/wnba/players/j/jonesal01w.html,2018
Brionna Jones,CON,F,27,242,27,0,9,1.1,2.4,0.469,0,0,NA,1.1,2.4,0.469,0.9,1.2,0.727,0.9,2,0.2,0.2,0.2,0.6,1.4,3.1,/wnba/players/j/jonesbr01w.html,2018
Jonquel Jones,CON,F,34,697,34,16,20.5,4.4,8,0.55,1.5,3.1,0.467,2.9,4.8,0.604,1.6,2.3,0.671,2.1,5.5,1.7,0.4,1.2,1.6,2.9,11.8,/wnba/players/j/jonesjo01w.html,2018
Lynetta Kizer,MIN,F,14,78,14,0,5.6,0.6,2.4,0.242,0,0.2,0,0.6,2.1,0.267,0.4,0.7,0.6,0.4,1.5,0.6,0.1,0,0.4,1.1,1.6,/wnba/players/k/kizerly01w.html,2018
Betnijah Laney,CON,G-F,29,271,29,0,9.3,1.1,2.4,0.471,0,0.3,0.111,1.1,2.1,0.525,0.3,0.4,0.909,0.7,1.7,0.7,0.4,0,0.6,0.7,2.7,/wnba/players/l/laneybe01w.html,2018
Crystal Langhorne,SEA,F-C,26,362,26,1,13.9,2,4,0.5,0,0.2,0,2,3.8,0.52,0.6,0.7,0.889,0.7,3,0.3,0.3,0.2,0.9,0.8,4.6,/wnba/players/l/langhcr01w.html,2018
Erlana Larkins,MIN,F,13,168,13,0,12.9,0.9,2.1,0.444,0,0,NA,0.9,2.1,0.444,0.2,0.2,1,1,2.7,1.3,0.7,0.2,0.7,1.6,2.1,/wnba/players/l/larkier01w.html,2018
Jantel Lavender,LAS,F,30,511,30,7,17,2.3,5.3,0.428,0.1,0.5,0.188,2.2,4.8,0.455,0.6,0.7,0.9,1.1,3.7,0.7,0.4,0.2,1,1.4,5.2,/wnba/players/l/lavenja01w.html,2018
Breanna Lewis,DAL,C,6,26,6,0,4.3,0.5,1.7,0.3,0,0,NA,0.5,1.7,0.3,0.2,0.2,1,0.5,1.2,0,0,0.2,0.5,1,1.2,/wnba/players/l/lewisbr01w.html,2018
Camille Little,PHO,F,33,536,33,7,16.2,1,3,0.33,0.2,0.9,0.258,0.8,2.1,0.362,0.7,0.9,0.774,0.5,1.8,1.2,0.5,0.3,0.9,2.2,3,/wnba/players/l/littlca01w.html,2018
Raigyne Louis,LVA,G,2,21,2,0,10.5,1,2.5,0.4,0,0.5,0,1,2,0.5,1,1.5,0.667,0.5,2,0.5,0.5,0,2,1,3,/wnba/players/l/louisra01w.html,2018
Jewell Loyd,SEA,G,34,1010,34,34,29.7,5.4,12.6,0.423,2,5.3,0.37,3.4,7.3,0.462,2.9,3.4,0.851,1.2,4.6,3.7,1.3,0.1,1.9,1.8,15.5,/wnba/players/l/loydje01w.html,2018
Sancho Lyttle,PHO,F,18,419,18,18,23.3,3.4,6.3,0.54,0,0.1,0,3.4,6.2,0.545,1.2,1.3,0.875,1.4,5.3,1.4,0.9,0.4,0.9,2.3,7.9,/wnba/players/l/lyttlsa01w.html,2018
Stephanie Mavunga,IND,F,25,194,25,0,7.8,0.8,1.8,0.477,0,0,0,0.8,1.7,0.488,0.5,0.6,0.8,1,2.2,0.2,0.3,0.2,0.4,1.4,2.2,/wnba/players/m/mavunst01w.html,2018
Kayla McBride,LVA,G,31,1000,31,31,32.3,6.4,14.2,0.449,1.5,3.9,0.393,4.8,10.2,0.47,3.9,4.3,0.917,0.8,3.9,3.5,1.1,0.1,2,1.1,18.2,/wnba/players/m/mcbrika01w.html,2018
Erica McCall,IND,F,34,418,34,2,12.3,1.2,3.2,0.385,0,0.2,0.125,1.2,3,0.406,0.4,0.6,0.684,1.4,2.7,0.4,0.4,0.5,0.4,1.6,2.9,/wnba/players/m/mccaler01w.html,2018
Angel McCoughtry,ATL,F-G,29,799,29,28,27.6,5.9,14,0.42,0.7,2.6,0.276,5.1,11.3,0.453,4,4.8,0.836,1.6,6,3,1.3,0.6,2.6,2.6,16.5,/wnba/players/m/mccouan01w.html,2018
Kelsey Mitchell,IND,G,34,829,34,17,24.4,4.2,12.1,0.346,2.1,6.1,0.335,2.1,5.9,0.358,2.3,2.9,0.804,0.3,1.8,2.7,0.7,0.1,1.9,2.4,12.7,/wnba/players/m/mitchke01w.html,2018
Leilani Mitchell,PHO,G,31,461,31,0,14.9,1.5,4.2,0.351,1,2.9,0.341,0.5,1.3,0.375,0.4,0.5,0.857,0.3,1.4,2.3,0.5,0.2,1.2,1.3,4.4,/wnba/players/m/mitchle01w.html,2018
Tiffany Mitchell,IND,G,34,871,34,20,25.6,3.2,8.6,0.371,0.5,1.8,0.267,2.7,6.8,0.398,2.2,2.7,0.835,0.7,3.1,2.3,0.9,0.2,1.4,1.7,9.1,/wnba/players/m/mitchti01w.html,2018
Endy Miyem,MIN,F,20,101,20,1,5.1,0.6,1.9,0.324,0.1,0.5,0.2,0.5,1.4,0.37,0.1,0.1,1,0.3,0.6,0.3,0.1,0.1,0.2,0.7,1.4,/wnba/players/m/miyemen01w.html,2018
Alex Montgomery,CHI,G-F,19,122,19,0,6.4,0.3,1,0.263,0.1,0.2,0.333,0.2,0.8,0.25,0.2,0.2,1,0.3,0.9,0.5,0.1,0.1,0.3,0.7,0.8,/wnba/players/m/montgal01w.html,2018
Renee Montgomery,ATL,G,34,935,34,34,27.5,3.1,8.1,0.389,2.3,6.2,0.371,0.9,1.9,0.446,1.7,2,0.881,0.1,1.7,3.7,1.3,0.1,1.6,1.7,10.3,/wnba/players/m/montgre01w.html,2018
Maya Moore,MIN,F,34,1081,34,34,31.8,6.6,15.5,0.423,1.9,5.3,0.365,4.6,10.2,0.454,2.9,3.5,0.833,1.4,5.1,2.6,1.7,0.4,1.8,1.8,18,/wnba/players/m/moorema01w.html,2018
Kaleena Mosqueda-Lewis,SEA,F,33,442,33,4,13.4,1.8,4.5,0.412,1,2.5,0.42,0.8,2,0.403,0.3,0.4,0.917,0.2,1.5,0.8,0.1,0,0.7,1.2,5.1,/wnba/players/m/mosquka01w.html,2018
Jaime Nared,LVA,G-F,31,283,31,0,9.1,0.8,2.6,0.3,0.2,1,0.226,0.5,1.6,0.347,0.8,0.9,0.857,0.3,1.5,0.5,0.4,0.1,0.5,0.8,2.5,/wnba/players/n/naredja01w.html,2018
Astou Ndour,CHI,C-F,22,255,22,9,11.6,1.7,3.5,0.474,0.3,1,0.318,1.4,2.5,0.536,0.9,1.2,0.769,1,2.5,0.3,0.2,0.5,0.5,1.5,4.6,/wnba/players/n/ndouras01w.html,2018
Kia Nurse,NYL,G,34,774,34,7,22.8,3,7.5,0.402,1.1,3.7,0.294,1.9,3.8,0.508,2,2.3,0.87,0.7,2.4,1.6,0.7,0.1,0.9,2.1,9.1,/wnba/players/n/nurseki01w.html,2018
Chiney Ogwumike,CON,F-C,31,790,31,31,25.5,5.7,9.4,0.603,0,0.1,0.5,5.6,9.4,0.603,3,3.8,0.797,2.7,7.3,1,1.1,0.6,1.6,3.4,14.4,/wnba/players/o/ogwumch01w.html,2018
Nneka Ogwumike,LAS,F,27,831,27,27,30.8,6.3,11.9,0.525,0.3,1,0.346,5.9,11,0.541,2.6,3.2,0.816,1.8,6.8,2,1.6,0.4,1.5,2.9,15.5,/wnba/players/o/ogwumnn01w.html,2018
Courtney Paris,SEA,C,34,360,34,0,10.6,0.9,1.8,0.533,0,0,0,0.9,1.7,0.542,0.3,0.5,0.529,1.1,3.9,0.6,0.2,0.3,0.4,1.6,2.1,/wnba/players/p/parisco01w.html,2018
Candace Parker,LAS,F-C,31,949,31,30,30.6,6.4,13.5,0.471,1.3,3.8,0.345,5.1,9.7,0.522,3.8,4.7,0.808,1.6,8.2,4.7,1.2,1.1,3,2.1,17.9,/wnba/players/p/parkeca01w.html,2018
Cheyenne Parker,CHI,F,34,670,34,5,19.7,3.8,7.1,0.531,0.2,0.6,0.316,3.6,6.5,0.55,2.3,3.2,0.713,1.8,5.8,0.7,0.6,1.1,1.4,2.8,10,/wnba/players/p/parkech01w.html,2018
JiSu Park,LVA,C,32,417,32,11,13,1.2,3.1,0.388,0,0.1,0,1.2,3,0.396,0.4,0.7,0.619,0.8,3.3,0.9,0.3,0.6,0.7,1.7,2.8,/wnba/players/p/parkji01w.html,2018
Devereaux Peters,PHO,F,5,38,5,0,7.6,0.8,2.4,0.333,0,0.4,0,0.8,2,0.4,0,0,NA,0.4,1.6,0.4,0,0,0.4,1,1.6,/wnba/players/p/peterde01w.html,2018
Theresa Plaisance,DAL,F,7,81,7,0,11.6,2,5.1,0.389,1.3,2.7,0.474,0.7,2.4,0.294,0,0.3,0,1.4,3.7,0.7,0.3,0.3,1.1,1.9,5.3,/wnba/players/p/plaisth01w.html,2018
Kelsey Plum,LVA,G,31,790,31,27,25.5,3.4,7.3,0.467,1.5,3.5,0.439,1.9,3.9,0.492,1.1,1.3,0.875,0.5,2.4,4,0.8,0.2,1.2,2.1,9.5,/wnba/players/p/plumke01w.html,2018
Alexis Prince,ATL,F,2,6,2,0,3,1.5,2.5,0.6,0.5,0.5,1,1,2,0.5,0,0,NA,0.5,1,0,0,0,0,0.5,3.5,/wnba/players/p/princal01w.html,2018
Epiphanny Prince,NYL,G,16,305,16,12,19.1,3,7.6,0.393,1.1,2.7,0.419,1.9,4.9,0.38,1.3,1.5,0.875,0.4,1.6,1.7,0.9,0,1.1,1.9,8.4,/wnba/players/p/princep01w.html,2018
LaToya Sanders,WAS,F-C,28,686,28,25,24.5,4.1,6.8,0.607,0,0,0,4.1,6.8,0.611,1.9,2.2,0.869,2.3,6.4,1.6,1.3,1.1,1.1,2.4,10.2,/wnba/players/p/pringla01w.html,2018
Allie Quigley,CHI,G,32,951,32,32,29.7,5.7,12.3,0.466,2.3,5.4,0.42,3.4,6.8,0.502,1.7,2,0.857,0.3,2.4,2.5,0.7,0.3,2.1,1.8,15.4,/wnba/players/q/quiglal01w.html,2018
Noelle Quinn,SEA,G,20,181,20,1,9.1,0.7,2.2,0.302,0.2,0.9,0.235,0.5,1.3,0.346,0,0,NA,0.1,0.9,0.7,0.1,0.1,0.5,0.4,1.5,/wnba/players/q/quinnno01w.html,2018
Angel Robinson,PHO,F-C,24,238,24,0,9.9,0.8,1.8,0.452,0,0,0,0.8,1.7,0.463,0.7,0.8,0.85,1,3,0.5,0.2,0.3,0.9,1.3,2.3,/wnba/players/r/robinan01w.html,2018
Danielle Robinson,MIN,G,28,521,28,2,18.6,2.5,5.5,0.445,0.1,0.7,0.158,2.4,4.9,0.485,1.5,1.7,0.854,0.3,1.8,3.3,0.9,0,1.8,1.4,6.5,/wnba/players/r/robinda01w.html,2018
Sugar Rodgers,NYL,G,31,608,31,13,19.6,2.2,6,0.362,1.4,4.3,0.323,0.8,1.7,0.462,0.6,0.7,0.826,0.6,3.2,2,0.7,0.1,1.2,2.1,6.3,/wnba/players/r/rodgesu01w.html,2018
Leticia Romero,DAL,G,21,146,21,0,7,0.2,0.8,0.313,0,0.2,0.2,0.2,0.5,0.364,0.6,0.7,0.867,0.4,0.8,1.1,0,0,0.7,1,1.1,/wnba/players/r/romerle01w.html,2018
