wnba_player,wnba_link,wnba_id,season,wnba_season,league,nba_player1,nba_season,distance,league2,pred_class,nba_player2,distance2,nba_player3,distance3,nba_player4,distance4,nba_player5,distance5,nba_link1,nba_id1,nba_link2,nba_id2,nba_link3,nba_id3,nba_link4,nba_id4,nba_link5,nba_id5
Courtney Vandersloot,/wnba/players/v/vandeco01w.html,vandeco01w,2021,2021,WNBA,Rajon Rondo,2022,0.0102115272406541,NBA,3,Raul Neto,0.01855357275349147,Cory Joseph,0.01960783572079954,Kyle Lowry,0.02080947045465625,D.J. Augustin,0.02131426125569641,/players/r/rondora01.html,rondora01,/players/n/netora01.html,netora01,/players/j/josepco01.html,josepco01,/players/l/lowryky01.html,lowryky01,/players/a/augusdj01.html,augusdj01
Kia Vaughn,/wnba/players/v/vaughki01w.html,vaughki01w,2021,2021,WNBA,Dejounte Murray,2022,0.02113109892822176,NBA,7,Markelle Fultz,0.04761101338032408,Darius Garland,0.05833231594406043,LaMelo Ball,0.08490783192173992,Cole Anthony,0.08779145082188687,/players/m/murrade01.html,murrade01,/players/f/fultzma01.html,fultzma01,/players/g/garlada01.html,garlada01,/players/b/ballla01.html,ballla01,/players/a/anthoco01.html,anthoco01
Victoria Vivians,/wnba/players/v/viviavi01w.html,viviavi01w,2021,2021,WNBA,Alfonzo McKinnie,2022,0.11161691904364344,NBA,6,Garrett Temple,0.12270723577290334,Rudy Gay,0.1410403460612134,Oshae Brissett,0.16599512061063387,Danuel House Jr.,0.1721448380096718,/players/m/mckinal01.html,mckinal01,/players/t/templga01.html,templga01,/players/g/gayru01.html,gayru01,/players/b/brissos01.html,brissos01,/players/h/houseda01.html,houseda01
Megan Walker,/wnba/players/w/walkeme01w.html,walkeme01w,2021,2021,WNBA,Damion Lee,2022,0.14155972055326008,NBA,2,Austin Rivers,0.17257689663670317,P.J. Tucker,0.18705271467002849,Troy Brown Jr.,0.19430226636658676,Deni Avdija,0.20824197150247545,/players/l/leeda03.html,leeda03,/players/r/riverau01.html,riverau01,/players/t/tuckepj01.html,tuckepj01,/players/b/browntr01.html,browntr01,/players/a/avdijde01.html,avdijde01
Stephanie Watts,/wnba/players/w/wattsst01w.html,wattsst01w,2021,2021,WNBA,P.J. Tucker,2022,0.07770520684730423,NBA,2,Austin Rivers,0.10779403259422762,Damion Lee,0.114512497352122,Patrick Williams,0.16347552506918472,Troy Brown Jr.,0.1643850703226061,/players/t/tuckepj01.html,tuckepj01,/players/r/riverau01.html,riverau01,/players/l/leeda03.html,leeda03,/players/w/willipa01.html,willipa01,/players/b/browntr01.html,browntr01
Erica Wheeler,/wnba/players/w/wheeler01w.html,wheeler01w,2021,2021,WNBA,Fred VanVleet,2022,0.01403283392085531,NBA,7,Brandon Williams,0.02615958940569512,Anfernee Simons,0.03553352162452086,Bones Hyland,0.03833425420816343,Jordan Poole,0.05407508735037925,/players/v/vanvlfr01.html,vanvlfr01,/players/w/willibr03.html,willibr03,/players/s/simonan01.html,simonan01,/players/h/hylanbo01.html,hylanbo01,/players/p/poolejo01.html,poolejo01
Sami Whitcomb,/wnba/players/w/whitcsa01w.html,whitcsa01w,2021,2021,WNBA,Saddiq Bey,2022,0.1581351669197123,NBA,7,Jalen Green,0.1939667250572784,Cedi Osman,0.19510698929649747,Luguentz Dort,0.20182099153935631,Eric Gordon,0.20812705180740687,/players/b/beysa01.html,beysa01,/players/g/greenja05.html,greenja05,/players/o/osmande01.html,osmande01,/players/d/dortlu01.html,dortlu01,/players/g/gordoer01.html,gordoer01
Sydney Wiese,/wnba/players/w/wiesesy01w.html,wiesesy01w,2021,2021,WNBA,Alfonzo McKinnie,2022,0.17197199659957804,NBA,6,Garrett Temple,0.212332235464775,Taurean Prince,0.2129727186812281,Stanley Johnson,0.21775338093650037,Mikal Bridges,0.22539588419343531,/players/m/mckinal01.html,mckinal01,/players/t/templga01.html,templga01,/players/p/princta02.html,princta02,/players/j/johnsst04.html,johnsst04,/players/b/bridgmi01.html,bridgmi01
Courtney Williams,/wnba/players/w/willico01w.html,willico01w,2021,2021,WNBA,Luka Dončić,2022,4.151407827834088e-5,NBA,5,Kristaps Porziņģis,1.342889584815405e-4,Kevin Durant,1.5778685278031775e-4,Nikola Jokić,1.6364835695563846e-4,Giannis Antetokounmpo,1.637394435596572e-4,/players/d/doncilu01.html,doncilu01,/players/p/porzikr01.html,porzikr01,/players/d/duranke01.html,duranke01,/players/j/jokicni01.html,jokicni01,/players/a/antetgi01.html,antetgi01
Elizabeth Williams,/wnba/players/w/williel01w.html,williel01w,2021,2021,WNBA,Andre Drummond,2022,2.7469688604273538e-6,NBA,1,Mason Plumlee,4.247276108022946e-6,Rudy Gobert,5.076373305387557e-6,Steven Adams,6.520289190806767e-6,Robert Williams,6.719104513589588e-6,/players/d/drumman01.html,drumman01,/players/p/plumlma01.html,plumlma01,/players/g/goberru01.html,goberru01,/players/a/adamsst01.html,adamsst01,/players/w/williro04.html,williro04
