player,tm,season,pos,g,mp,gs,fg,fga,fgpercent,x3p,x3pa,x3ppercent,x2p,x2pa,x2ppercent,ft,fta,ftpercent,orb,trb,ast,stl,blk,tov,pf,pts,per,tspercent,efgpercent,x3par,ftr,orbpercent,trbpercent,astpercent,stlpercent,blkpercent,tovpercent,usgpercent,ortg,drtg,ows,dws,ws,ws_40,distance,fga_2p,fga_0_3,fga_3_10,fga_10_16,fga_16_3p,fga_3p,fg_2p,fg_0_3,fg_3_10,fg_10_16,fg_16_3p,fg_3p,fg_2p_asst,fg_3p_asst,corner_3s_attempt,corner_3s_percent,oncourt,on_off,badpass,lostball,shoot_fouls_committed,off_fouls_committed,shoot_fouls_drawn,off_fouls_drawn,pga,and1,blkd,link
Kahleah Copper,CHI,2022,G-F,16,455,16,8.9,19.9,0.444,2.3,6.1,0.382,6.5,13.8,0.472,5.3,6.5,0.814,1.4,9.2,3.9,0.8,0,4,4.3,25.4,14.1,0.556,0.503,0.306,0.328,3.6,10.6,12.4,0.8,0,14.9,24.1,101,103,0.5,0.6,1.1,0.095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/wnba/players/c/coppeka01w.html
Lorela Cubaj,NYL,2022,F,11,88,0,2.3,7,0.333,0,0,NA,2.3,7,0.333,0,0,NA,5.2,13.4,2.3,0,1.2,2.9,7,4.7,3.5,0.333,0.333,0,0,12.1,15,6.9,0,1.8,29.4,9,82,107,-0.1,0.1,0,-0.017,11.4,1,0.25,0.167,0.083,0.5,0,0.333,0.333,0.5,0,0.333,NA,0.75,NA,NA,NA,-30.8,-29.3,3,0,8,2,0,NA,10,0,2,/wnba/players/c/cubajlo01w.html
Elissa Cunane,MIN,2022,C,3,10,0,5.1,10.2,0.5,0,5.1,0,5.1,5.1,1,0,0,NA,10.2,25.5,0,0,0,5.1,5.1,10.2,9.7,0.5,0.5,0.5,0,23.8,29,0,0,0,33.3,13.3,90,106,0,0,0,0.008,13.2,0.5,0.5,0,0,0,0.5,1,1,NA,NA,NA,0,0,NA,0,NA,-15.3,-13.7,1,0,1,0,0,NA,0,0,0,/wnba/players/c/cunanel01w.html
Sophie Cunningham,PHO,2022,G,15,377,7,5.9,13.8,0.427,3.9,9.9,0.392,2,3.9,0.517,2.8,3.1,0.913,1.2,8.2,3.2,1.3,0.4,1.7,7.4,18.5,13.1,0.61,0.568,0.718,0.223,2.9,9.8,10.6,1.3,0.7,10.3,15.4,115,109,0.9,0.1,1,0.107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/wnba/players/c/cunniso01w.html
Damiris Dantas,MIN,2022,F,11,201,11,6.1,18.8,0.324,3.6,13,0.275,2.5,5.8,0.435,1.3,1.5,0.833,2,11.4,5.1,0.5,0.3,3.3,3,17,8.9,0.437,0.419,0.689,0.081,4.7,13,15.9,0.5,0.5,14.5,19.8,91,108,-0.1,0.1,0,-0.006,19.6,0.311,0.054,0.135,0.081,0.041,0.689,0.435,0.75,0.4,0.5,0,0.275,0.6,1,0.078,0.5,11.5,16.9,10,1,9,0,3,NA,44,2,3,/wnba/players/d/dantada01w.html
Rennia Davis,MIN,2022,F,1,3,0,17,17,1,0,0,NA,17,17,1,0,0,NA,0,0,0,0,0,17,0,34,11.3,1,1,0,0,0,0,0,0,0,50,29.7,64,115,0,0,0,-0.259,1.8,1,1,0,0,0,0,1,1,NA,NA,NA,NA,1,NA,NA,NA,-75,-73.4,1,0,0,0,0,NA,0,0,0,/wnba/players/d/davisre01w.html
Elena Delle Donne,WAS,2022,F-G,15,405,15,11.6,24.4,0.474,2.8,7.3,0.386,8.7,17.1,0.511,4.9,5.5,0.884,2.3,11.7,3.9,1,2.2,1.9,2.8,30.9,24.4,0.574,0.532,0.3,0.226,5.1,13.2,14.7,1,3.9,6.7,25.5,115,96,1.5,0.9,2.4,0.232,14.2,0.7,0.074,0.347,0.2,0.079,0.3,0.511,0.929,0.561,0.342,0.333,0.386,0.647,0.909,0.053,0,11.2,10.3,5,6,8,4,23,3,71,4,7,/wnba/players/d/delleel01w.html
Diamond DeShields,PHO,2022,G,22,581,14,9.4,22.9,0.411,1.2,5.3,0.23,8.2,17.6,0.465,6.4,8.6,0.747,1.3,7.7,3.9,2,1.1,4.3,7.1,26.5,13.5,0.496,0.437,0.232,0.376,3.1,9.3,14.6,2,2,13.8,28.1,93,107,-0.2,0.4,0.2,0.011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/wnba/players/d/deshidi01w.html
Jasmine Dickey,DAL,2022,G,14,66,0,4.6,17.8,0.261,0.8,2.3,0.333,3.9,15.4,0.25,3.9,5.4,0.714,3.9,8.5,1.5,2.3,0.8,3.1,6.2,13.9,4.3,0.345,0.283,0.13,0.304,8.4,9.7,4.8,2.3,1.3,13.3,20.2,77,104,-0.2,0.1,-0.1,-0.067,10.8,0.87,0.261,0.217,0.261,0.13,0.13,0.25,0.5,0,0.167,0.333,0.333,0.4,1,0.333,0,-20.7,-21.9,2,2,6,0,3,1,4,1,4,/wnba/players/d/dickeja01w.html
Skylar Diggins-Smith,PHO,2022,G,21,714,21,10.3,22.7,0.452,2.1,6.7,0.316,8.1,16,0.509,5.8,6.7,0.863,1,5.7,7.5,2.8,1.4,4.5,4.1,28.5,20.9,0.554,0.498,0.296,0.296,2.4,6.8,28.9,2.8,2.5,14.8,27.4,104,106,1.5,0.5,2,0.114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/wnba/players/d/diggisk01w.html
