player,team,pos,g,mp,g_2,gs,mp_2,fg,fga,fgpercent,x3p,x3pa,x3ppercent,x2p,x2pa,x2ppercent,ft,fta,ftpercent,orb,trb,ast,stl,blk,tov,pf,pts,link,season
Kaleena Mosqueda-Lewis,SEA,F,33,442,33,4,442,61,148,0.412,34,81,0.42,27,67,0.403,11,12,0.917,8,48,27,4,0,23,39,167,/wnba/players/m/mosquka01w.html,2018
Jaime Nared,LVA,G-F,31,283,31,0,283,24,80,0.3,7,31,0.226,17,49,0.347,24,28,0.857,10,46,14,13,2,17,26,79,/wnba/players/n/naredja01w.html,2018
Astou Ndour,CHI,C-F,22,255,22,9,255,37,78,0.474,7,22,0.318,30,56,0.536,20,26,0.769,23,54,7,5,10,11,32,101,/wnba/players/n/ndouras01w.html,2018
Kia Nurse,NYL,G,34,774,34,7,774,103,256,0.402,37,126,0.294,66,130,0.508,67,77,0.87,24,82,54,23,5,30,72,310,/wnba/players/n/nurseki01w.html,2018
Chiney Ogwumike,CON,F-C,31,790,31,31,790,176,292,0.603,1,2,0.5,175,290,0.603,94,118,0.797,85,227,32,35,19,51,106,447,/wnba/players/o/ogwumch01w.html,2018
Nneka Ogwumike,LAS,F,27,831,27,27,831,169,322,0.525,9,26,0.346,160,296,0.541,71,87,0.816,49,184,53,42,12,40,77,418,/wnba/players/o/ogwumnn01w.html,2018
Courtney Paris,SEA,C,34,360,34,0,360,32,60,0.533,0,1,0,32,59,0.542,9,17,0.529,39,133,22,8,9,14,55,73,/wnba/players/p/parisco01w.html,2018
Candace Parker,LAS,F-C,31,949,31,30,949,198,420,0.471,41,119,0.345,157,301,0.522,118,146,0.808,51,253,146,38,33,92,65,555,/wnba/players/p/parkeca01w.html,2018
Cheyenne Parker,CHI,F,34,670,34,5,670,128,241,0.531,6,19,0.316,122,222,0.55,77,108,0.713,60,196,23,19,36,48,94,339,/wnba/players/p/parkech01w.html,2018
JiSu Park,LVA,C,32,417,32,11,417,38,98,0.388,0,2,0,38,96,0.396,13,21,0.619,27,107,30,10,20,23,54,89,/wnba/players/p/parkji01w.html,2018
Devereaux Peters,PHO,F,5,38,5,0,38,4,12,0.333,0,2,0,4,10,0.4,0,0,NA,2,8,2,0,0,2,5,8,/wnba/players/p/peterde01w.html,2018
Theresa Plaisance,DAL,F,7,81,7,0,81,14,36,0.389,9,19,0.474,5,17,0.294,0,2,0,10,26,5,2,2,8,13,37,/wnba/players/p/plaisth01w.html,2018
Kelsey Plum,LVA,G,31,790,31,27,790,106,227,0.467,47,107,0.439,59,120,0.492,35,40,0.875,14,74,124,25,5,37,64,294,/wnba/players/p/plumke01w.html,2018
Alexis Prince,ATL,F,2,6,2,0,6,3,5,0.6,1,1,1,2,4,0.5,0,0,NA,1,2,0,0,0,0,1,7,/wnba/players/p/princal01w.html,2018
Epiphanny Prince,NYL,G,16,305,16,12,305,48,122,0.393,18,43,0.419,30,79,0.38,21,24,0.875,7,25,27,14,0,17,31,135,/wnba/players/p/princep01w.html,2018
LaToya Sanders,WAS,F-C,28,686,28,25,686,116,191,0.607,0,1,0,116,190,0.611,53,61,0.869,65,179,44,35,31,30,66,285,/wnba/players/p/pringla01w.html,2018
Allie Quigley,CHI,G,32,951,32,32,951,183,393,0.466,73,174,0.42,110,219,0.502,54,63,0.857,10,77,81,22,10,66,58,493,/wnba/players/q/quiglal01w.html,2018
Noelle Quinn,SEA,G,20,181,20,1,181,13,43,0.302,4,17,0.235,9,26,0.346,0,0,NA,2,17,13,1,2,10,7,30,/wnba/players/q/quinnno01w.html,2018
Angel Robinson,PHO,F-C,24,238,24,0,238,19,42,0.452,0,1,0,19,41,0.463,17,20,0.85,23,72,13,5,6,21,31,55,/wnba/players/r/robinan01w.html,2018
Danielle Robinson,MIN,G,28,521,28,2,521,69,155,0.445,3,19,0.158,66,136,0.485,41,48,0.854,8,50,92,26,1,49,38,182,/wnba/players/r/robinda01w.html,2018
Sugar Rodgers,NYL,G,31,608,31,13,608,67,185,0.362,43,133,0.323,24,52,0.462,19,23,0.826,19,100,61,21,3,36,66,196,/wnba/players/r/rodgesu01w.html,2018
