player,tm,pos,g,mp,g_2,mp_2,fgpercent,distance,fga_2p,fga_0_3,fga_3_10,fga_10_16,fga_16_3p,fga_3p,fg_2p,fg_0_3,fg_3_10,fg_10_16,fg_16_3p,fg_3p,fg_2p_asst,fg_3p_asst,corner_3s_attempt,corner_3s_percent,link,season
Alexis Prince,CHI,F,2,16,2,16,0.6,19.3,0.4,0,0.2,0,0.2,0.6,0.5,NA,1,NA,0,0.667,0,1,0,NA,/wnba/players/p/princal01w.html,2020
Allie Quigley,CHI,G,22,631,22,631,0.448,18.4,0.538,0.021,0.118,0.236,0.163,0.462,0.535,1,0.588,0.485,0.511,0.346,0.542,0.783,0.09,0.417,/wnba/players/q/quiglal01w.html,2020
Azura Stevens,CHI,F-C,13,355,13,355,0.5,13.2,0.669,0.144,0.314,0.136,0.076,0.331,0.557,0.941,0.541,0.375,0.222,0.385,0.75,1,0.282,0.455,/wnba/players/s/steveaz01w.html,2020
Courtney Vandersloot,CHI,G,22,693,22,693,0.491,13.7,0.651,0.147,0.33,0.069,0.106,0.349,0.542,0.844,0.431,0.267,0.652,0.395,0.208,0.8,0.053,0.5,/wnba/players/v/vandeco01w.html,2020
Gabby Williams,CHI,F,22,546,22,546,0.424,15.7,0.557,0.139,0.234,0.07,0.114,0.443,0.534,0.727,0.568,0.182,0.444,0.286,0.617,1,0.114,0.25,/wnba/players/w/williga01w.html,2020
DeWanna Bonner,CON,F-G,22,732,22,732,0.422,13.5,0.695,0.142,0.319,0.117,0.117,0.305,0.496,0.7,0.464,0.415,0.415,0.252,0.405,0.667,0.084,0.333,/wnba/players/b/bonnede01w.html,2020
Kaila Charles,CON,G-F,21,376,21,376,0.412,12.6,0.691,0.103,0.412,0.062,0.113,0.309,0.433,0.9,0.4,0.333,0.182,0.367,0.448,0.909,0.267,0.5,/wnba/players/c/charlka01w.html,2020
Natisha Hiedeman,CON,G,22,408,22,408,0.354,17.6,0.496,0.071,0.213,0.079,0.134,0.504,0.349,0.778,0.296,0.4,0.176,0.359,0.273,0.652,0.063,0.25,/wnba/players/h/hiedena01w.html,2020
Bria Holmes,CON,G,18,291,18,291,0.357,12.9,0.694,0.143,0.378,0.051,0.122,0.306,0.368,0.571,0.351,0.2,0.25,0.333,0.52,0.9,0.067,0.5,/wnba/players/h/holmebr01w.html,2020
Briann January,CON,G,13,303,13,303,0.293,18.8,0.587,0,0.147,0.107,0.347,0.413,0.25,NA,0.091,0,0.385,0.355,0.364,0.909,0.032,0,/wnba/players/j/januabr01w.html,2020
Brionna Jones,CON,F,21,549,21,549,0.605,5.6,0.994,0.346,0.488,0.08,0.08,0.006,0.602,0.768,0.582,0.308,0.308,1,0.691,1,0,NA,/wnba/players/j/jonesbr01w.html,2020
Beatrice Mompremier,CON,F,21,187,21,187,0.426,6.3,1,0.34,0.404,0.17,0.085,0,0.426,0.563,0.368,0.375,0.25,NA,0.65,NA,NA,NA,/wnba/players/m/momprbe01w.html,2020
Kaleena Mosqueda-Lewis,CON,F,16,164,16,164,0.297,21.6,0.266,0,0.109,0.031,0.125,0.734,0.412,NA,0.571,0.5,0.25,0.255,0.857,1,0.085,0.5,/wnba/players/m/mosquka01w.html,2020
Theresa Plaisance,CON,F,13,90,13,90,0.379,18.9,0.414,0,0.276,0.069,0.069,0.586,0.5,NA,0.75,0,0,0.294,0.833,1,0.059,0,/wnba/players/p/plaisth01w.html,2020
Alyssa Thomas,CON,F,21,689,21,689,0.5,6,0.996,0.176,0.664,0.152,0.004,0.004,0.502,0.767,0.438,0.459,1,0,0.746,NA,0,NA,/wnba/players/t/thomaal01w.html,2020
Jasmine Thomas,CON,G,19,485,19,485,0.404,15.9,0.665,0.128,0.17,0.106,0.261,0.335,0.44,0.625,0.344,0.25,0.49,0.333,0.364,0.952,0.159,0.4,/wnba/players/t/thomaja01w.html,2020
Natalie Achonwa,IND,F,18,364,18,364,0.496,11,0.913,0.2,0.296,0.122,0.296,0.087,0.543,0.739,0.559,0.571,0.382,0,0.772,NA,0,NA,/wnba/players/a/achonna01w.html,2020
Julie Allemand,IND,G,22,716,22,716,0.455,20.8,0.313,0.067,0.09,0.052,0.104,0.687,0.405,0.778,0.25,0.429,0.286,0.478,0.294,0.818,0.033,0.667,/wnba/players/a/allemju01w.html,2020
Kennedy Burke,IND,G-F,22,403,22,403,0.449,12.9,0.622,0.142,0.402,0.047,0.031,0.378,0.532,0.833,0.471,0.5,0,0.313,0.595,1,0.271,0.231,/wnba/players/b/burkeke01w.html,2020
Lauren Cox,IND,F,14,183,14,183,0.419,11.3,0.86,0.047,0.535,0.163,0.116,0.14,0.405,1,0.435,0.286,0.2,0.5,0.533,1,0.167,1,/wnba/players/c/coxla01w.html,2020
Kathleen Doyle,IND,G,18,155,18,155,0.244,17.4,0.488,0.049,0.195,0.098,0.146,0.512,0.25,1,0.125,0.5,0,0.238,0.4,1,0.238,0.2,/wnba/players/d/doyleka01w.html,2020
Candice Dupree,IND,F,22,665,22,665,0.462,12.5,0.928,0.084,0.295,0.251,0.299,0.072,0.485,0.857,0.554,0.302,0.467,0.167,0.726,1,0,NA,/wnba/players/d/dupreca01w.html,2020
Teaira McCowan,IND,C,22,461,22,461,0.536,6,0.982,0.31,0.524,0.089,0.06,0.018,0.545,0.731,0.5,0.4,0.2,0,0.711,NA,0,NA,/wnba/players/m/mccowte01w.html,2020
Kelsey Mitchell,IND,G,22,706,22,706,0.448,16.4,0.532,0.11,0.224,0.107,0.091,0.468,0.5,0.765,0.478,0.273,0.5,0.389,0.378,0.804,0.028,0.25,/wnba/players/m/mitchke01w.html,2020
Tiffany Mitchell,IND,G,19,502,19,502,0.346,14.8,0.659,0.098,0.248,0.173,0.14,0.341,0.404,0.571,0.434,0.378,0.267,0.233,0.421,0.765,0.178,0.385,/wnba/players/m/mitchti01w.html,2020
Kamiah Smalls,IND,G,7,100,7,100,0.45,18.2,0.4,0.05,0.2,0,0.15,0.6,0.25,1,0,NA,0.333,0.583,0.5,1,0.333,0.5,/wnba/players/s/smallka01w.html,2020
Victoria Vivians,IND,G,6,85,6,85,0.345,15.6,0.621,0.034,0.276,0.172,0.138,0.379,0.444,1,0.625,0.2,0.25,0.182,0.375,0.5,0.182,0,/wnba/players/v/viviavi01w.html,2020
Kristine Anigwe,LAS,F-C,17,197,17,197,0.604,5.5,1,0.377,0.434,0.132,0.057,0,0.604,0.85,0.522,0.143,0.667,NA,0.719,NA,NA,NA,/wnba/players/a/anigwkr01w.html,2020
Seimone Augustus,LAS,G-F,21,332,21,332,0.491,17.2,0.8,0.027,0.1,0.245,0.427,0.2,0.477,1,0.364,0.519,0.447,0.545,0.762,0.917,0,NA,/wnba/players/a/augusse01w.html,2020
Te'a Cooper,LAS,G,20,345,20,345,0.451,11.7,0.717,0.159,0.407,0.062,0.088,0.283,0.494,0.778,0.435,0.143,0.5,0.344,0.4,1,0.281,0.333,/wnba/players/c/coopete01w.html,2020
Chelsea Gray,LAS,G,22,679,22,679,0.442,14.7,0.786,0.08,0.236,0.203,0.268,0.214,0.479,0.636,0.569,0.429,0.392,0.305,0.269,0.722,0.051,0.333,/wnba/players/g/graych01w.html,2020
Reshanda Gray,LAS,F,10,62,10,62,0.364,7.4,1,0.273,0.364,0.182,0.182,0,0.364,0.667,0.25,0,0.5,NA,0.75,NA,NA,NA,/wnba/players/g/grayre01w.html,2020
Marie Gulich,LAS,C,12,119,12,119,0.5,8,0.885,0.192,0.577,0.038,0.077,0.115,0.565,0.6,0.6,0,0.5,0,0.923,NA,0,NA,/wnba/players/g/gulima01w.html,2020
Nneka Ogwumike,LAS,F,18,476,18,476,0.569,9.1,0.892,0.251,0.425,0.066,0.15,0.108,0.577,0.786,0.521,0.455,0.44,0.5,0.744,1,0.167,0,/wnba/players/o/ogwumnn01w.html,2020
Candace Parker,LAS,F-C,22,665,22,665,0.51,10,0.802,0.222,0.428,0.082,0.07,0.198,0.538,0.722,0.529,0.3,0.294,0.396,0.562,0.789,0.083,0.5,/wnba/players/p/parkeca01w.html,2020
Tierra Ruffin-Pratt,LAS,G,17,251,17,251,0.267,14.1,0.711,0.133,0.2,0.244,0.133,0.289,0.188,0.5,0,0.091,0.333,0.462,0.333,1,0.077,1,/wnba/players/r/ruffiti01w.html,2020
Brittney Sykes,LAS,G,21,517,21,517,0.487,13.4,0.673,0.16,0.307,0.06,0.147,0.327,0.564,0.667,0.587,0.556,0.409,0.327,0.526,0.875,0.306,0.4,/wnba/players/s/sykesbr01w.html,2020
Sydney Wiese,LAS,G,19,363,19,363,0.505,17,0.43,0.14,0.204,0,0.086,0.57,0.55,0.846,0.421,NA,0.375,0.472,0.727,0.84,0.17,0.333,/wnba/players/w/wiesesy01w.html,2020
Riquna Williams,LAS,G,21,444,21,444,0.435,19.1,0.452,0.043,0.129,0.113,0.167,0.548,0.452,0.75,0.5,0.238,0.484,0.422,0.368,0.953,0.196,0.6,/wnba/players/w/williri02w.html,2020
Kayla Alexander,MIN,C,16,89,16,89,0.533,7.3,1,0.133,0.667,0.133,0.067,0,0.533,0.75,0.45,0.5,1,NA,0.625,NA,NA,NA,/wnba/players/a/alexaka01w.html,2020
Rachel Banham,MIN,G,20,339,20,339,0.462,18.6,0.49,0.058,0.144,0.154,0.135,0.51,0.451,0.833,0.333,0.438,0.429,0.472,0.478,0.88,0.075,1,/wnba/players/b/banhara01w.html,2020
Lexie Brown,MIN,G,17,374,17,374,0.342,18.1,0.532,0.072,0.153,0.072,0.234,0.468,0.407,0.5,0.471,0.375,0.346,0.269,0.458,1,0.096,0.2,/wnba/players/b/brownle02w.html,2020
Bridget Carleton,MIN,F,22,568,22,568,0.52,15.9,0.549,0.078,0.265,0.127,0.078,0.451,0.571,0.875,0.556,0.385,0.625,0.457,0.469,1,0.239,0.455,/wnba/players/c/carlebr01w.html,2020
Karima Christmas-Kelly,MIN,F-G,2,25,2,25,0.143,14.8,0.571,0,0.429,0.143,0,0.429,0.25,NA,0.333,0,NA,0,0,NA,0,NA,/wnba/players/c/chriska02w.html,2020
Napheesa Collier,MIN,F,22,752,22,752,0.523,10.4,0.812,0.204,0.373,0.177,0.058,0.188,0.55,0.868,0.536,0.391,0,0.408,0.595,0.95,0.122,0.333,/wnba/players/c/collina01w.html,2020
Crystal Dangerfield,MIN,G,21,629,21,629,0.471,15.2,0.612,0.114,0.274,0.125,0.099,0.388,0.559,0.633,0.542,0.636,0.423,0.333,0.3,0.794,0.078,0.375,/wnba/players/d/dangecr01w.html,2020
Damiris Dantas,MIN,F,22,586,22,586,0.464,14.4,0.591,0.109,0.345,0.077,0.059,0.409,0.485,0.708,0.447,0.353,0.462,0.433,0.81,1,0.033,0.667,/wnba/players/d/dantada01w.html,2020
Sylvia Fowles,MIN,C,7,168,7,168,0.609,4.9,1,0.344,0.563,0.047,0.047,0,0.609,0.909,0.528,0,0,NA,0.718,NA,NA,NA,/wnba/players/f/fowlesy01w.html,2020
Mikiah Herbert Harrigan,MIN,F,21,234,21,234,0.366,16.9,0.598,0.085,0.183,0.122,0.207,0.402,0.327,0.857,0.067,0.3,0.353,0.424,0.813,0.929,0.152,0.4,/wnba/players/h/harrimi01w.html,2020
Shenise Johnson,MIN,G,17,212,17,212,0.341,12,0.793,0.146,0.402,0.122,0.122,0.207,0.338,0.25,0.394,0.3,0.3,0.353,0.227,0.833,0,NA,/wnba/players/j/johnssh02w.html,2020
Odyssey Sims,MIN,G,13,240,13,240,0.404,12.7,0.769,0.183,0.288,0.173,0.125,0.231,0.425,0.684,0.4,0.278,0.308,0.333,0.412,1,0,NA,/wnba/players/s/simsod01w.html,2020
Layshia Clarendon,NYL,G,19,496,19,496,0.465,11.4,0.723,0.126,0.509,0.069,0.019,0.277,0.513,0.85,0.469,0.273,0.333,0.341,0.254,0.667,0.023,0,/wnba/players/c/clarela01w.html,2020
Joyner Holmes,NYL,F,19,190,19,190,0.306,14.4,0.611,0.111,0.292,0.097,0.111,0.389,0.432,0.625,0.524,0.143,0.25,0.107,0.526,1,0.143,0.25,/wnba/players/h/holmejo02w.html,2020
Sabrina Ionescu,NYL,G,3,80,3,80,0.452,16.8,0.524,0.071,0.286,0.071,0.095,0.476,0.545,1,0.583,0.333,0.25,0.35,0.083,0.286,0.05,0,/wnba/players/i/ionessa01w.html,2020
Jazmine Jones,NYL,G,20,428,20,428,0.404,12.7,0.737,0.14,0.38,0.152,0.064,0.263,0.429,0.667,0.415,0.269,0.364,0.333,0.315,0.933,0.133,0.333,/wnba/players/j/jonesja02w.html,2020
Paris Kea,NYL,G,11,165,11,165,0.384,17.4,0.548,0.082,0.164,0.11,0.192,0.452,0.375,0.5,0.25,0.625,0.286,0.394,0.067,0.308,0.03,0,/wnba/players/k/keapa01w.html,2020
Kia Nurse,NYL,G,21,578,21,578,0.273,17,0.478,0.084,0.257,0.04,0.096,0.522,0.311,0.524,0.297,0.3,0.167,0.238,0.324,0.839,0.092,0.25,/wnba/players/n/nurseki01w.html,2020
Leaonna Odom,NYL,F,22,453,22,453,0.49,9,0.796,0.235,0.469,0.071,0.02,0.204,0.551,0.783,0.478,0.429,0,0.25,0.791,1,0.6,0.333,/wnba/players/o/odomle01w.html,2020
Kylee Shook,NYL,F,20,290,20,290,0.405,11.3,0.785,0.152,0.405,0.139,0.089,0.215,0.468,0.75,0.375,0.364,0.571,0.176,0.759,1,0.118,0,/wnba/players/s/shookky01w.html,2020
Kiah Stokes,NYL,C,22,601,22,601,0.372,16.9,0.38,0.153,0.182,0.022,0.022,0.62,0.596,0.667,0.6,0.333,0.333,0.235,0.774,0.95,0.247,0.095,/wnba/players/s/stokeki01w.html,2020
Megan Walker,NYL,F,18,205,18,205,0.321,18.6,0.449,0.064,0.179,0.064,0.141,0.551,0.543,0.8,0.714,0.2,0.364,0.14,0.737,1,0.093,0,/wnba/players/w/walkeme01w.html,2020
Jocelyn Willoughby,NYL,F-G,22,383,22,383,0.358,13.2,0.661,0.183,0.312,0.037,0.128,0.339,0.333,0.4,0.176,0.75,0.5,0.405,0.667,1,0.081,0.333,/wnba/players/w/willojo01w.html,2020
Amanda Zahui B.,NYL,C,21,531,21,531,0.353,17.7,0.457,0.065,0.201,0.098,0.092,0.543,0.369,0.75,0.405,0.167,0.235,0.34,0.645,1,0.01,0,/wnba/players/z/zahuiam01w.html,2020
Nia Coffey,PHO,F,15,230,15,230,0.421,19.9,0.447,0.026,0.105,0.105,0.211,0.553,0.529,1,0.5,0.75,0.375,0.333,0.556,1,0.143,0.333,/wnba/players/c/coffeni01w.html,2020
Sophie Cunningham,PHO,G,21,396,21,396,0.385,16,0.44,0.099,0.286,0.033,0.022,0.56,0.575,0.667,0.615,0.333,0,0.235,0.783,0.917,0.255,0.231,/wnba/players/c/cunniso01w.html,2020
Skylar Diggins-Smith,PHO,G,22,675,22,675,0.474,14.9,0.567,0.101,0.325,0.075,0.067,0.433,0.533,0.63,0.552,0.25,0.611,0.397,0.358,0.696,0.095,0.364,/wnba/players/d/diggisk01w.html,2020
Brittney Griner,PHO,C,12,382,12,382,0.497,7.6,0.994,0.137,0.606,0.149,0.103,0.006,0.5,0.708,0.491,0.308,0.556,0,0.828,NA,0,NA,/wnba/players/g/grinebr01w.html,2020
Bria Hartley,PHO,G,13,322,13,322,0.42,16.5,0.586,0.108,0.229,0.057,0.191,0.414,0.446,0.706,0.5,0.556,0.2,0.385,0.366,0.76,0.077,0.4,/wnba/players/h/hartlbr01w.html,2020
Alanna Smith,PHO,F,19,296,19,296,0.422,14.2,0.578,0.118,0.373,0.02,0.069,0.422,0.559,0.833,0.474,0.5,0.571,0.233,0.727,1,0.047,0.5,/wnba/players/s/smithal01w.html,2020
Diana Taurasi,PHO,G,19,533,19,533,0.409,21.5,0.289,0.034,0.085,0.068,0.102,0.711,0.515,0.75,0.45,0.688,0.375,0.365,0.486,0.639,0.06,0.4,/wnba/players/t/tauradi01w.html,2020
Brianna Turner,PHO,F,22,613,22,613,0.579,4.7,0.991,0.333,0.588,0.053,0.018,0.009,0.584,0.684,0.567,0.333,0,0,0.879,NA,0,NA,/wnba/players/t/turnebr01w.html,2020
Kia Vaughn,PHO,C,22,415,22,415,0.488,11.8,0.984,0.134,0.252,0.244,0.354,0.016,0.496,0.824,0.438,0.581,0.356,0,0.855,NA,0,NA,/wnba/players/v/vaughki01w.html,2020
Shatori Walker-Kimbrough,PHO,G,21,400,21,400,0.429,16.4,0.595,0.087,0.23,0.071,0.206,0.405,0.427,0.636,0.345,0.556,0.385,0.431,0.469,0.818,0.235,0.417,/wnba/players/w/walkesh01w.html,2020
Lindsay Allen,LVA,G,21,284,21,284,0.424,13.6,0.742,0.197,0.273,0.121,0.152,0.258,0.449,0.846,0.278,0.25,0.4,0.353,0.591,0.667,0.118,0.5,/wnba/players/a/allenli01w.html,2020
Cierra Burdick,LVA,F,13,28,13,28,0.286,13.7,1,0.143,0,0.286,0.571,0,0.286,1,NA,0,0.25,NA,1,NA,NA,NA,/wnba/players/b/burdici01w.html,2020
Emma Cannon,LVA,F,1,0,1,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,/wnba/players/c/cannoem01w.html,2020
Dearica Hamby,LVA,F,22,622,22,622,0.539,9,0.814,0.23,0.5,0.029,0.054,0.186,0.554,0.83,0.5,0,0.182,0.474,0.674,1,0.105,0.5,/wnba/players/h/hambyde01w.html,2020
Kayla McBride,LVA,G,22,587,22,587,0.425,16.8,0.656,0.033,0.245,0.104,0.274,0.344,0.468,0.429,0.538,0.227,0.5,0.342,0.708,0.92,0.137,0.4,/wnba/players/m/mcbrika01w.html,2020
Angel McCoughtry,LVA,F-G,22,440,22,440,0.518,11,0.85,0.173,0.376,0.119,0.181,0.15,0.526,0.59,0.576,0.37,0.463,0.471,0.455,1,0,NA,/wnba/players/m/mccouan01w.html,2020
Danielle Robinson,LVA,G,22,492,22,492,0.512,10.3,0.893,0.132,0.488,0.116,0.157,0.107,0.528,0.875,0.458,0.429,0.526,0.385,0.474,1,0.154,0.5,/wnba/players/r/robinda01w.html,2020
Sugar Rodgers,LVA,G,22,263,22,263,0.321,22.3,0.21,0,0.136,0.037,0.037,0.79,0.353,NA,0.364,0.333,0.333,0.313,0.167,0.75,0.109,0.429,/wnba/players/r/rodgesu01w.html,2020
Carolyn Swords,LVA,C,22,384,22,384,0.46,6.1,1,0.36,0.38,0.22,0.04,0,0.46,0.722,0.421,0.182,0,NA,0.652,NA,NA,NA,/wnba/players/s/swordca01w.html,2020
Avery Warley-Talbert,LVA,C,3,24,3,24,0.429,3.6,1,0.143,0.857,0,0,0,0.429,1,0.333,NA,NA,NA,0.333,NA,NA,NA,/wnba/players/w/warleav01w.html,2020
A'ja Wilson,LVA,F,22,697,22,697,0.48,9.1,1,0.145,0.425,0.277,0.153,0,0.48,0.84,0.49,0.313,0.415,NA,0.759,NA,NA,NA,/wnba/players/w/wilsoa01w.html,2020
Jackie Young,LVA,G,22,568,22,568,0.492,11.6,0.931,0.085,0.365,0.259,0.222,0.069,0.511,0.75,0.464,0.51,0.5,0.231,0.378,1,0.077,0,/wnba/players/y/youngja01w.html,2020
Sue Bird,SEA,G,11,257,11,257,0.494,20.3,0.41,0.012,0.096,0.084,0.217,0.59,0.529,1,0.75,0.429,0.444,0.469,0.444,0.87,0.082,1,/wnba/players/b/birdsu01w.html,2020
Jordin Canada,SEA,G,20,483,20,483,0.424,10.4,0.917,0.189,0.394,0.091,0.242,0.083,0.455,0.8,0.365,0.417,0.344,0.091,0.236,1,0,NA,/wnba/players/c/canadjo01w.html,2020
Alysha Clark,SEA,F,22,633,22,633,0.558,14.5,0.544,0.136,0.313,0.054,0.041,0.456,0.588,0.8,0.543,0.625,0.167,0.522,0.809,0.943,0.179,0.667,/wnba/players/c/clarkal01w.html,2020
Natasha Howard,SEA,F,22,463,22,463,0.53,7.3,0.878,0.299,0.476,0.073,0.03,0.122,0.556,0.694,0.513,0.333,0.4,0.35,0.725,1,0.15,1,/wnba/players/h/howarna01w.html,2020
Crystal Langhorne,SEA,F-C,13,107,13,107,0.412,12.2,0.706,0.176,0.353,0.176,0,0.294,0.5,1,0.333,0.333,NA,0.2,0.667,0,0,NA,/wnba/players/l/langhcr01w.html,2020
Jewell Loyd,SEA,G,22,613,22,613,0.443,15.9,0.605,0.095,0.221,0.103,0.186,0.395,0.477,0.792,0.375,0.462,0.447,0.39,0.466,0.872,0.22,0.545,/wnba/players/l/loydje01w.html,2020
Ezi Magbegor,SEA,C,22,292,22,292,0.569,5.6,0.972,0.294,0.587,0.055,0.037,0.028,0.575,0.75,0.531,0.167,0.5,0.333,0.689,1,0,NA,/wnba/players/m/magbeez01w.html,2020
Epiphanny Prince,SEA,G,15,190,15,190,0.386,18.4,0.526,0.018,0.228,0.14,0.14,0.474,0.433,0,0.462,0.5,0.375,0.333,0.154,0.556,0.074,1,/wnba/players/p/princep01w.html,2020
Mercedes Russell,SEA,C,22,304,22,304,0.41,7,1,0.167,0.615,0.09,0.128,0,0.41,0.538,0.438,0.286,0.2,NA,0.875,NA,NA,NA,/wnba/players/r/russeme01w.html,2020
Breanna Stewart,SEA,F,20,607,20,607,0.451,14.3,0.678,0.112,0.285,0.142,0.139,0.322,0.49,0.818,0.488,0.405,0.317,0.368,0.755,0.943,0.021,0,/wnba/players/s/stewabr01w.html,2020
Morgan Tuck,SEA,F,10,88,10,88,0.313,15.5,0.438,0.063,0.313,0.063,0,0.563,0.429,0,0.6,0,NA,0.222,1,1,0.333,0,/wnba/players/t/tuckmo01w.html,2020
Sami Whitcomb,SEA,G,22,363,22,363,0.443,17.5,0.4,0.093,0.221,0.036,0.05,0.6,0.536,0.692,0.484,0,0.857,0.381,0.367,0.969,0.19,0.313,/wnba/players/w/whitcsa01w.html,2020
Bella Alarie,DAL,C-F,22,309,22,309,0.364,9.6,0.803,0.197,0.485,0.076,0.045,0.197,0.434,0.769,0.344,0.2,0.333,0.077,0.739,1,0.077,0,/wnba/players/a/alaribe01w.html,2020
Allisha Gray,DAL,G,20,524,20,524,0.464,14,0.638,0.128,0.347,0.077,0.087,0.362,0.528,0.88,0.515,0.133,0.412,0.352,0.379,0.84,0.141,0.3,/wnba/players/g/grayal01w.html,2020
Megan Gustafson,DAL,C,10,48,10,48,0.286,7.8,0.929,0.214,0.571,0,0.143,0.071,0.308,0.333,0.375,NA,0,0,0.75,NA,1,0,/wnba/players/g/gustame01w.html,2020
Isabelle Harrison,DAL,F,13,258,13,258,0.447,9.8,0.961,0.158,0.434,0.171,0.197,0.039,0.466,0.667,0.515,0.308,0.333,0,0.588,NA,0,NA,/wnba/players/h/harriis01w.html,2020
Tyasha Harris,DAL,G,21,412,21,412,0.433,16.9,0.559,0.071,0.228,0.087,0.173,0.441,0.507,0.667,0.552,0.545,0.364,0.339,0.194,0.684,0.179,0.3,/wnba/players/h/harrity01w.html,2020
Moriah Jefferson,DAL,G,9,148,9,148,0.409,10.8,0.864,0.159,0.386,0.159,0.136,0.136,0.421,0.714,0.353,0.286,0.5,0.333,0.313,1,0.333,0.5,/wnba/players/j/jeffemo01w.html,2020
Marina Mabrey,DAL,G,19,405,19,405,0.43,17.9,0.424,0.076,0.222,0.051,0.076,0.576,0.448,0.917,0.4,0.375,0.167,0.418,0.2,0.816,0.088,0.375,/wnba/players/m/mabrema01w.html,2020
Astou Ndour,DAL,C-F,13,151,13,151,0.351,16.3,0.561,0.088,0.228,0.105,0.14,0.439,0.438,1,0.538,0.167,0.125,0.24,0.643,1,0.04,1,/wnba/players/n/ndouras01w.html,2020
Arike Ogunbowale,DAL,G,22,748,22,748,0.413,15.4,0.659,0.069,0.265,0.158,0.169,0.341,0.453,0.862,0.477,0.303,0.38,0.336,0.256,0.688,0.042,0.333,/wnba/players/o/ogunbar01w.html,2020
Satou Sabally,DAL,F,16,450,16,450,0.368,13,0.637,0.11,0.429,0.044,0.055,0.363,0.466,0.55,0.5,0.25,0.2,0.197,0.426,0.769,0.136,0.333,/wnba/players/s/sabalsa01w.html,2020
Katie Lou Samuelson,DAL,F,22,439,22,439,0.417,18.6,0.375,0.083,0.167,0.063,0.063,0.625,0.583,0.875,0.813,0,0.167,0.317,0.762,1,0.1,0.167,/wnba/players/s/samueka02w.html,2020
Kayla Thornton,DAL,F,22,557,22,557,0.429,17.5,0.429,0.103,0.222,0.032,0.079,0.571,0.537,0.923,0.5,0.25,0.2,0.347,0.759,0.92,0.139,0.5,/wnba/players/t/thornka01w.html,2020
Ariel Atkins,WAS,G,22,682,22,682,0.438,17.8,0.574,0.056,0.147,0.159,0.211,0.426,0.458,0.643,0.459,0.35,0.491,0.411,0.53,0.841,0.15,0.5,/wnba/players/a/atkinar01w.html,2020
Alaina Coates,WAS,C,20,197,20,197,0.529,4.7,1,0.412,0.5,0.088,0,0,0.529,0.714,0.412,0.333,NA,NA,0.667,NA,NA,NA,/wnba/players/c/coateal01w.html,2020
Tianna Hawkins,WAS,F,17,329,17,329,0.408,14.9,0.562,0.077,0.338,0.085,0.062,0.438,0.493,0.9,0.523,0.273,0.125,0.298,0.778,1,0.105,0,/wnba/players/h/hawkiti01w.html,2020
Myisha Hines-Allen,WAS,F,22,659,22,659,0.51,10.7,0.793,0.18,0.418,0.119,0.075,0.207,0.532,0.623,0.569,0.314,0.455,0.426,0.597,0.885,0.066,0.25,/wnba/players/h/hinesmy01w.html,2020
Kiara Leslie,WAS,G,19,414,19,414,0.352,15.1,0.565,0.13,0.278,0.037,0.12,0.435,0.344,0.5,0.4,0,0.154,0.362,0.476,0.941,0.191,0.444,/wnba/players/l/lesliki01w.html,2020
Emma Meesseman,WAS,F,20,634,20,634,0.454,12.5,0.813,0.079,0.375,0.213,0.146,0.188,0.492,0.789,0.478,0.373,0.543,0.289,0.771,1,0.067,0,/wnba/players/m/meessem01w.html,2020
Leilani Mitchell,WAS,G,22,673,22,673,0.408,17.5,0.469,0.078,0.223,0.073,0.095,0.531,0.524,0.786,0.475,0.538,0.412,0.305,0.25,0.759,0.084,0.375,/wnba/players/m/mitchle01w.html,2020
Aerial Powers,WAS,F-G,6,179,6,179,0.464,16.8,0.623,0.029,0.217,0.174,0.203,0.377,0.535,1,0.733,0.333,0.429,0.346,0.217,0.778,0.154,0.25,/wnba/players/p/powerae01w.html,2020
Sug Sutton,WAS,G,12,113,12,113,0.364,19.5,0.485,0.061,0.152,0.091,0.182,0.515,0.438,1,0.2,0.333,0.5,0.294,0.429,1,0,NA,/wnba/players/s/suttosu01w.html,2020
Essence Carson,TOT,G,21,291,21,291,0.303,17.2,0.556,0.051,0.222,0.081,0.202,0.444,0.327,0.6,0.227,0.375,0.35,0.273,0.778,1,0.136,0.333,/wnba/players/c/carsoes01w.html,2020
Jacki Gemelos,TOT,G,18,222,18,222,0.339,20.4,0.375,0.036,0.179,0.036,0.125,0.625,0.476,1,0.4,0.5,0.429,0.257,0.8,0.889,0.229,0.5,/wnba/players/g/gemelja01w.html,2020
Megan Huff,TOT,F,7,16,7,16,0,14.9,0.667,0,0.333,0.333,0,0.333,0,NA,0,0,NA,0,NA,NA,1,0,/wnba/players/h/huffme01w.html,2020
Alisia Jenkins,TOT,F,5,28,5,28,0.25,15,0.625,0,0.375,0.125,0.125,0.375,0.4,NA,0.333,0,1,0,1,NA,0,NA,/wnba/players/j/jenkial01w.html,2020
Stella Johnson,TOT,G,9,100,9,100,0.471,14.5,0.588,0.118,0.353,0.029,0.088,0.412,0.35,0.75,0.25,1,0,0.643,0.714,1,0.214,0.667,/wnba/players/j/johnsst01w.html,2020
Stephanie Mavunga,TOT,F,10,95,10,95,0.448,10.3,0.828,0.103,0.517,0.172,0.034,0.172,0.542,1,0.533,0.2,1,0,0.692,NA,0,NA,/wnba/players/m/mavunst01w.html,2020
