player,tm,pos,g,mp,g_2,mp_2,fgpercent,distance,fga_2p,fga_0_3,fga_3_10,fga_10_16,fga_16_3p,fga_3p,fg_2p,fg_0_3,fg_3_10,fg_10_16,fg_16_3p,fg_3p,fg_2p_asst,fg_3p_asst,corner_3s_attempt,corner_3s_percent,link,season
Alexis Jones,MIN,G,26,229,26,229,0.352,18.3,0.451,0.143,0.077,0.077,0.154,0.549,0.39,0.692,0.286,0.429,0.143,0.32,0.188,0.75,0.08,0.25,/wnba/players/j/jonesal01w.html,2018
Lynetta Kizer,MIN,F,14,78,14,78,0.242,12.8,0.909,0.242,0.091,0.182,0.394,0.091,0.267,0.125,0.333,0.333,0.308,0,1,NA,0.333,0,/wnba/players/k/kizerly01w.html,2018
Erlana Larkins,MIN,F,13,168,13,168,0.444,7.2,1,0.444,0.222,0.111,0.222,0,0.444,0.5,0.5,0.667,0.167,NA,0.833,NA,NA,NA,/wnba/players/l/larkier01w.html,2018
Endy Miyem,MIN,F,20,101,20,101,0.324,16.9,0.73,0.054,0.162,0.081,0.432,0.27,0.37,0.5,0.5,0.667,0.25,0.2,0.8,1,0,NA,/wnba/players/m/miyemen01w.html,2018
Maya Moore,MIN,F,34,1081,34,1081,0.423,15.9,0.657,0.148,0.108,0.199,0.201,0.343,0.454,0.679,0.421,0.362,0.396,0.365,0.535,0.697,0.094,0.294,/wnba/players/m/moorema01w.html,2018
Danielle Robinson,MIN,G,28,521,28,521,0.445,12,0.877,0.303,0.148,0.168,0.258,0.123,0.485,0.532,0.348,0.5,0.5,0.158,0.439,1,0.053,0,/wnba/players/r/robinda01w.html,2018
Lindsay Whalen*,MIN,G,32,617,32,617,0.363,13.9,0.765,0.184,0.156,0.179,0.246,0.235,0.365,0.394,0.357,0.375,0.341,0.357,0.4,1,0.095,0.5,NA,2018
Tanisha Wright,MIN,G,33,586,33,586,0.383,14.7,0.639,0.188,0.173,0.135,0.143,0.361,0.376,0.64,0.174,0.444,0.211,0.396,0.469,0.895,0.354,0.412,/wnba/players/w/wrighta01w.html,2018
Cecilia Zandalasini,MIN,F,29,478,29,478,0.409,17.8,0.597,0.06,0.087,0.168,0.282,0.403,0.427,0.778,0.154,0.52,0.381,0.383,0.605,1,0.2,0.333,/wnba/players/z/zandace01w.html,2018
Rebecca Allen,NYL,G,28,291,28,291,0.376,18.1,0.624,0.099,0.079,0.099,0.347,0.376,0.444,0.6,0.5,0.7,0.314,0.263,0.643,1,0.237,0.111,/wnba/players/a/allenre01w.html,2018
